Lines of code metrics,Sun, 28 Aug 2022 18:59:40 NZST
Method,CLOC,JLOC,LOC,NCLOC,RLOC
Main.Main(),3,0,47,44,38.21%
Main.actionPerformed(ActionEvent),1,0,47,46,38.21%
Main.loadYaml(),1,0,11,10,8.94%
Main.main(String[]),0,0,3,3,2.44%
Main.setHighlight(String),1,0,9,8,7.32%
TextFieldPanel.TextFieldPanel(),2,0,18,16,14.63%
TextFieldPanel.addCurrentDate(),0,0,5,5,4.07%
TextFieldPanel.clearField(),0,0,3,3,2.44%
TextFieldPanel.openFile(),3,0,39,37,31.71%
TextFieldPanel.paintComponents(Graphics),0,0,3,3,2.44%
TextFieldPanel.printText(),0,0,7,7,5.69%
TextFieldPanel.savePDF(),2,0,19,17,15.45%
TextFieldPanel.saveToFile(),0,0,13,13,10.57%
TextFieldPanel.search(String),0,0,12,12,9.76%

Class,CLOC,JLOC,LOC
Main,6,0,123
TextFieldPanel,8,0,123

Package,CLOC,CLOC(rec),JLOC,JLOC(rec),LOC,LOC(rec),LOCp,LOCp(rec),LOCt,LOCt(rec),NCLOC,NCLOCp,NCLOCp(rec),NCLOCt
,0,14,0,0,276,276,276,276,0,0,263,263,263,0

Module,JLOC,L(Groovy),L(HTML),L(J),L(KT),L(XML),LOC,LOCp,LOCt,NCLOC,NCLOCp,NCLOCt
Assignment1,0,0,0,276,0,30,344,276,0,306,263,0

FileType,LOC,NCLOC
Java,276,263
Markdown,12,12
Text,25,n/a
XML,30,30
YAML,1,1

Project,CLOC,JLOC,L(Groovy),L(HTML),L(J),L(KT),L(XML),LOC,LOCp,LOCt,NCLOC,NCLOCp,NCLOCt
project,14,0,0,0,276,0,30,344,276,0,306,263,0

