Complexity metrics,Sun, 28 Aug 2022 19:03:09 NZST
Method,CogC,ev(G),iv(G),v(G)
Main.Main(),0,1,1,1
Main.actionPerformed(ActionEvent),24,1,14,14
Main.loadYaml(),1,1,1,2
Main.main(String[]),0,1,1,1
Main.setHighlight(String),1,1,2,2
TextFieldPanel.TextFieldPanel(),0,1,1,1
TextFieldPanel.addCurrentDate(),0,1,1,1
TextFieldPanel.clearField(),0,1,1,1
TextFieldPanel.openFile(),17,1,13,13
TextFieldPanel.paintComponents(Graphics),1,1,1,1
TextFieldPanel.printText(),1,1,2,2
TextFieldPanel.savePDF(),2,1,3,3
TextFieldPanel.saveToFile(),2,1,3,3
TextFieldPanel.search(String),2,1,3,3

Class,OCavg,OCmax,WMC
Main,3.40,13,17
TextFieldPanel,2.67,12,24

Package,v(G)avg,v(G)tot
,3.43,48

Module,v(G)avg,v(G)tot
Assignment1,3.43,48

Project,v(G)avg,v(G)tot
project,3.43,48

